count, gb id, description, protein id, length
249, AE016853.1, Pseudomonas syringae pv. tomato str. DC3000, AAO54604.1, 454
251, CP006256.1, Pseudomonas syringae pv. syringae HS191, AKF53061.1, 454
253, CP019871.1, Pseudomonas syringae pv. tomato, AVI83329.1, 454
257, CP002552.1, Nitrosomonas sp. AL212, ADZ27299.1, 447
258, CP002552.1, Nitrosomonas sp. AL212, ADZ27787.1, 424
259, AL954747.1, Nitrosomonas europaea ATCC 19718, CAD84394.1, 451
261, CP009455.1, Pseudomonas cremoricolorata, AIR89969.1, 448
265, CP000103.1, Nitrosospira multiformis ATCC 25196, ABB75687.1, 488
267, AP014576.1, Burkholderia sp. RPE67, BAO87203.1, 442
269, CP003087.1, Burkholderia sp. YI23, AET89916.1, 442
271, CP022411.1, Pseudomonas sp. RU47, AZZ77554.1, 450
272, CP022411.1, Pseudomonas sp. RU47, AZZ79185.1, 417
273, LT855380.1, Pseudomonas viridiflava, SMS12009.1, 455
274, LT855380.1, Pseudomonas viridiflava, SMS12134.1, 456
275, CP026197.1, Enterobacteriaceae bacterium ENNIH3, AUU91856.1, 451
277, CP026192.1, Enterobacteriaceae bacterium ENNIH2, AUV08097.1, 451
279, CP007448.2, Yersinia enterocolitica LC20, AHM73227.1, 410
284, CP020892.1, Pseudomonas sp. M30-35, ARU86607.1, 417
285, CP009787.1, Yersinia rohdei, AJJ09491.1, 408
286, CP027762.1, Pseudomonas sp. LBUM920, AZF65384.1, 452
289, CP000712.1, Pseudomonas putida F1, ABQ80049.1, 449
291, CP023964.1, Yersinia frederiksenii, ATM96526.1, 408
293, CP028324.1, Massilia armeniaca, AVR98400.1, 406
295, CP020820.1, Pantoea vagans, AWP32388.1, 457
297, CP027716.1, Pseudomonas chlororaphis, AZD32746.1, 421
298, CP007039.1, Pseudomonas cichorii JBC1, AHF65278.1, 449
300, LR134136.1, Atlantibacter hermannii, VDZ74213.1, 407
302, CP012201.1, Massilia sp. NR 4-1, AKU24022.1, 406
303, CP034148.1, Pantoea agglomerans, AZI51591.1, 457
304, CP018470.1, Xanthomonas vesicatoria, APO95173.1, 449
305, CP007029.1, Thioalkalivibrio paradoxus ARh 1, AHE98513.1, 408
308, CP029343.1, Massilia oculi, AWL06099.1, 406
311, AM260479.1, Cupriavidus necator H16, CAJ93979.1, 423
312, CP001392.1, Acidovorax ebreus TPSY, ACM32044.1, 406
313, CP003403.1, Rahnella aquatilis HX2, AFE57954.1, 463
315, CP011256.1, Xanthomonas campestris, AKC79531.1, 455
318, AB811598.1, Escherichia coli, BAQ00606.1, 404
319, CP027140.1, Escherichia coli, AVJ78187.1, 404
320, CP019267.1, Escherichia coli, AUY97490.1, 404
321, LR134236.1, Escherichia coli, VED01863.1, 404
322, CP025048.1, Escherichia coli, AUA39888.1, 404
323, LR025096.1, Escherichia coli, VAX89662.1, 404
324, LR134222.1, Escherichia coli, VEC43212.1, 404
325, CP026755.1, Escherichia coli, AVE94294.1, 404
326, CP023201.1, Escherichia coli, ASZ46461.1, 408
328, CP034966.1, Escherichia coli, QAS89673.1, 404
329, CP029108.1, Escherichia coli, AWF11907.1, 404
330, CP029369.1, Escherichia coli, AWX38105.1, 404
331, CP023899.1, Escherichia coli, ATM28055.1, 404
332, CP031231.1, Escherichia coli, AXH86398.1, 404
333, CP031653.1, Escherichia coli, AXP26352.1, 404
334, CP017184.1, Enterobacter roggenkampii, AOP96282.1, 448
335, CP031321.1, Escherichia coli, AXK26764.1, 404
342, CP033401.1, Escherichia coli, AYQ00574.1, 404
343, CP033401.1, Escherichia coli, AYQ03186.1, 469
344, CP034958.1, Escherichia coli, QAS85041.1, 404
345, CP034958.1, Escherichia coli, QAS83513.1, 469
346, CP024801.1, Escherichia coli, ATX35209.1, 404
347, CP024801.1, Escherichia coli, ATX33612.1, 469
348, CP027205.2, Escherichia coli, AVN00830.1, 404
349, CP027205.2, Escherichia coli, AVM99173.1, 469
351, CP010150.1, Escherichia coli, APK31606.1, 404
358, CP024141.1, Escherichia coli, AUK00667.1, 404
359, CP022129.1, Methylovulum psychrotolerans, ASF45839.1, 406
361, LT604072.1, Xanthomonas translucens pv. translucens DSM 18974, SCB06233.1, 454
362, CP023268.1, Serratia sp. MYb239, AVJ16966.1, 405
364, CP031648.1, Pseudomonas fluorescens, AXP06133.1, 421
367, CP010133.1, Escherichia coli, APJ97979.1, 404
368, CP002663.1, Pusillimonas sp. T7-7, AEC21709.1, 406
369, CP036175.1, Klebsiella sp. WCHKl090001, QBG07477.1, 404
371, LR134485.1, Citrobacter youngae, VEI42374.1, 408
373, CP023441.1, Klebsiella pneumoniae, AWR62652.1, 404
374, CP025542.1, Pseudomonas fluorescens, AUM72628.1, 421
376, CP025780.1, Stenotrophomonas sp. Pemsol, AYA89411.1, 446
377, CP026722.1, Klebsiella aerogenes, AVE37215.1, 404
378, CP024880.1, Klebsiella aerogenes, ATX88579.1, 404
379, CP024883.1, Klebsiella aerogenes, ATY01867.1, 404
380, CP014748.2, Klebsiella aerogenes, AMQ58437.1, 404
381, CP033817.1, Klebsiella aerogenes, AYY01177.1, 404
382, CP026756.1, Klebsiella aerogenes, AVE99504.1, 404
383, CP014029.2, Klebsiella aerogenes, AMH08527.1, 404
384, CP024885.1, Klebsiella aerogenes, ATY08698.1, 404
385, CP031756.1, Klebsiella aerogenes, AXY31708.1, 404
386, FO203355.1, Klebsiella aerogenes EA1509E, CCG29188.1, 404
387, CP011539.1, Klebsiella aerogenes, AML34316.1, 404
388, CP023478.1, Klebsiella quasipneumoniae, AVR36975.1, 404
389, LR134202.1, Klebsiella pneumoniae, VEB81312.1, 404
390, CP016337.1, Kosakonia sacchari, ANR80891.1, 430
391, MH325890.1, Citrobacter braakii, AWU66609.1, 408
392, CP008714.1, Xanthomonas translucens pv. undulosa, AKK68988.1, 454
393, CP009750.1, Xanthomonas translucens pv. undulosa, AVY67944.1, 454
395, CP011072.1, Azoarcus sp. CIB, AKU13555.1, 418
396, CP028555.1, Klebsiella variicola, AWA00476.1, 404
401, CP011597.1, Klebsiella oxytoca, AKL09065.1, 404
402, CP011618.1, Klebsiella oxytoca, AKL26007.1, 404
404, LT174606.1, Klebsiella pneumoniae, CZQ25333.1, 404
405, CP022202.1, Pseudomonas thivervalensis, AXA63823.1, 421
407, CP022201.1, Pseudomonas thivervalensis, AXA58111.1, 421
409, CP029128.1, Klebsiella oxytoca, AWF34959.1, 404
411, CP016344.1, Klebsiella variicola, AXA29467.1, 404
413, CP032354.1, Klebsiella variicola, QAA71971.1, 404
414, CP027064.2, Klebsiella variicola, AVJ59194.1, 404
417, CP017964.1, Pseudomonas protegens, , 0
418, CP017964.1, Pseudomonas protegens, , 0
420, CP004143.1, Pseudomonas sp. ATCC 13867, AGI23567.1, 409
421, CP007511.1, Pseudomonas balearica DSM 6083, AJE15484.1, 407
426, CP025738.1, Pseudomonas fluorescens, AUO49639.1, 421
428, CP024081.1, Pseudomonas sp. s211(2017), AVU78492.1, 421
430, CP013144.1, Pseudomonas aeruginosa, ALS13164.1, 421
431, CP008862.2, Pseudomonas aeruginosa, ALY73440.1, 421
432, CP027165.1, Pseudomonas aeruginosa, AVJ94668.1, 421
433, CP031660.1, Pseudomonas aeruginosa, AXR14306.1, 421
434, CP031660.1, Pseudomonas aeruginosa, AXR12383.1, 422
435, CP000438.1, Pseudomonas aeruginosa UCBPP-PA14, ABJ14836.1, 421
436, LT608330.1, Pseudomonas aeruginosa, SCM65707.1, 421
437, CP021999.1, Pseudomonas aeruginosa, ASD00665.1, 421
438, CP006853.1, Pseudomonas aeruginosa MTB-1, AHB59202.1, 421
439, CP006853.1, Pseudomonas aeruginosa MTB-1, AHB57001.1, 396
442, CP019338.1, Pseudomonas aeruginosa, ASM88632.1, 421
443, CP030075.1, Pseudomonas aeruginosa, AYL29485.1, 421
444, CP030075.1, Pseudomonas aeruginosa, AYL33418.1, 422
445, CP006931.1, Pseudomonas aeruginosa SCV20265, AHC80285.1, 421
446, CP033685.1, Pseudomonas aeruginosa, AYW69503.1, 421
448, CP029745.1, Pseudomonas aeruginosa, AWS88226.1, 421
470, CP017886.1, Pseudomonas frederiksbergensis, APC16777.1, 421
473, CP004061.1, Pseudomonas aeruginosa B136-33, AGI84639.1, 421
477, CP012578.1, Pseudomonas aeruginosa, AON14013.1, 422
478, CP012585.1, Pseudomonas aeruginosa, AON10039.1, 421
479, CP012585.1, Pseudomonas aeruginosa, AON08025.1, 422
480, CP012580.1, Pseudomonas aeruginosa, AON28019.1, 421
481, CP012580.1, Pseudomonas aeruginosa, AON23677.1, 422
482, CP012581.1, Pseudomonas aeruginosa, AON34026.1, 421
483, CP012581.1, Pseudomonas aeruginosa, AON31992.1, 422
484, CP012583.1, Pseudomonas aeruginosa, AON46017.1, 421
485, CP012583.1, Pseudomonas aeruginosa, AON43979.1, 422
486, CP012579.1, Pseudomonas aeruginosa, AON22031.1, 421
487, CP012579.1, Pseudomonas aeruginosa, AON19998.1, 422
488, CP012584.1, Pseudomonas aeruginosa, AON52019.1, 421
489, CP012584.1, Pseudomonas aeruginosa, AON49990.1, 422
490, CP034436.1, Pseudomonas aeruginosa, AZN49512.1, 421
491, CP034436.1, Pseudomonas aeruginosa, AZN49793.1, 422
492, CP034436.1, Pseudomonas aeruginosa, AZN49690.1, 465
493, CP034430.1, Pseudomonas aeruginosa, AZP63383.1, 421
494, CP034430.1, Pseudomonas aeruginosa, AZP61210.1, 328
495, CP034430.1, Pseudomonas aeruginosa, AZP63197.1, 465
496, CP034435.1, Pseudomonas aeruginosa, AZN61256.1, 421
497, CP034435.1, Pseudomonas aeruginosa, AZN61738.1, 422
498, CP034435.1, Pseudomonas aeruginosa, AZN56024.1, 465
499, LR134330.1, Pseudomonas aeruginosa, VEF56068.1, 421
500, LR134330.1, Pseudomonas aeruginosa, VEF63729.1, 328
501, CP029147.1, Pseudomonas aeruginosa, AWF57340.1, 421
502, CP029147.1, Pseudomonas aeruginosa, AWF61972.1, 327
503, CP029147.1, Pseudomonas aeruginosa, AWF61726.1, 465
504, CP033432.1, Pseudomonas aeruginosa, AYQ83885.1, 421
505, CP033432.1, Pseudomonas aeruginosa, AYQ80573.1, 422
506, CP033432.1, Pseudomonas aeruginosa, AYQ84367.1, 465
507, CP034368.1, Pseudomonas aeruginosa, AZN03604.1, 421
508, CP034368.1, Pseudomonas aeruginosa, AZN03810.1, 422
509, CP034368.1, Pseudomonas aeruginosa, AZN03092.1, 465
510, CP008739.2, Pseudomonas aeruginosa VRFPA04, AID87390.1, 421
511, CP032569.1, Pseudomonas aeruginosa, AYF72046.1, 421
512, CP032569.1, Pseudomonas aeruginosa, AYF70621.1, 422
513, CP032569.1, Pseudomonas aeruginosa, , 0
514, CP033439.1, Pseudomonas aeruginosa, AYR15913.1, 421
515, CP033439.1, Pseudomonas aeruginosa, AYR12385.1, 422
516, CP033439.1, Pseudomonas aeruginosa, AYR10555.1, 465
517, CP034369.1, Pseudomonas aeruginosa, AZN09330.1, 421
518, CP034369.1, Pseudomonas aeruginosa, AZN09956.1, 422
523, CP034409.1, Pseudomonas aeruginosa, AZN16367.1, 421
524, CP034409.1, Pseudomonas aeruginosa, AZN17792.1, 422
525, CP034409.1, Pseudomonas aeruginosa, AZN15849.1, 465
526, AP014651.1, Pseudomonas aeruginosa, BAQ43399.1, 421
527, AP014651.1, Pseudomonas aeruginosa, BAQ40996.1, 327
528, CP029148.1, Pseudomonas aeruginosa, AWF69451.1, 421
529, CP029148.1, Pseudomonas aeruginosa, AWF63651.1, 327
530, CP027714.1, Pseudomonas chlororaphis, AZD18994.1, 424
531, CP020560.1, Pseudomonas aeruginosa, AVR70602.1, 421
532, CP029093.1, Pseudomonas aeruginosa, AWE95463.1, 421
533, CP027169.1, Pseudomonas aeruginosa, AVK05131.1, 421
535, CP032167.1, Klebsiella pneumoniae, AXZ12476.1, 404
536, CP027477.1, Pseudomonas koreensis, AVX92083.1, 421
538, CP027477.1, Pseudomonas koreensis, AVX90388.1, 419
539, CP015225.1, Pseudomonas fluorescens, AMZ73512.1, 421
541, CP011020.1, Pseudomonas chlororaphis, AKK01637.1, 421
544, CP029713.1, Pseudomonas aeruginosa, AYW44068.1, 421
545, CP022001.1, Pseudomonas aeruginosa, ASD13964.1, 421
546, CP022001.1, Pseudomonas aeruginosa, ASD10095.1, 422
547, CP015852.1, Pseudomonas koreensis, ANI00856.1, 421
548, CP027218.1, Pseudomonas sp. DTU12.3, QAX82487.1, 417
549, CP027218.1, Pseudomonas sp. DTU12.3, QAX86217.1, 450
550, CP015377.1, Pseudomonas aeruginosa, ANA70280.1, 421
551, CP015377.1, Pseudomonas aeruginosa, ANA74360.1, 396
552, CP027717.1, Pseudomonas chlororaphis subsp. aurantiaca, AZD76569.1, 424
553, CP027717.1, Pseudomonas chlororaphis subsp. aurantiaca, AZD70404.1, 433
555, CP027748.1, Pseudomonas chlororaphis subsp. aureofaciens, AZE20428.1, 421
556, CP027748.1, Pseudomonas chlororaphis subsp. aureofaciens, AZE14504.1, 433
557, CP027751.1, Pseudomonas chlororaphis subsp. aureofaciens, AZE39352.1, 421
559, CP027750.1, Pseudomonas chlororaphis subsp. aureofaciens, AZE33045.1, 421
561, CP027752.1, Pseudomonas chlororaphis subsp. aureofaciens, AZE45685.1, 421
563, CP027749.1, Pseudomonas chlororaphis subsp. aureofaciens, AZE26797.1, 421
565, CP027656.1, Pseudomonas chlororaphis subsp. piscium, AVO62132.1, 421
566, CP006705.1, Pseudomonas aeruginosa PAO581, AGV58296.1, 421
570, AE004091.2, Pseudomonas aeruginosa PAO1, AAG08835.1, 421
571, AE004091.2, Pseudomonas aeruginosa PAO1, AAG04775.1, 422
572, CP032540.1, Pseudomonas aeruginosa, AZN89733.1, 421
573, CP032540.1, Pseudomonas aeruginosa, AZN85926.1, 422
574, CP032541.1, Pseudomonas aeruginosa, AZN95514.1, 421
575, CP032541.1, Pseudomonas aeruginosa, AZN91436.1, 422
576, CP006832.1, Pseudomonas aeruginosa PAO1-VE13, AGY72254.1, 421
578, CP006831.1, Pseudomonas aeruginosa PAO1-VE2, AGY66016.1, 421
580, CP017149.1, Pseudomonas aeruginosa, AOP60927.1, 421
581, CP017149.1, Pseudomonas aeruginosa, AOP59059.1, 422
582, LN871187.1, Pseudomonas aeruginosa, CTQ40416.1, 421
583, LN871187.1, Pseudomonas aeruginosa, CTQ38510.1, 422
584, CP020659.1, Pseudomonas aeruginosa PAK, ARI05205.1, 421
586, CP030351.1, Pseudomonas aeruginosa, AWZ92898.1, 421
587, LN831024.1, Pseudomonas aeruginosa, CKI29475.1, 421
588, LN831024.1, Pseudomonas aeruginosa, CKH82985.1, 337
589, CP012001.1, Pseudomonas aeruginosa DSM 50071 = NBRC 12689, AKO89624.1, 421
590, CP012001.1, Pseudomonas aeruginosa DSM 50071 = NBRC 12689, AKO87710.1, 422
591, CP013989.1, Pseudomonas aeruginosa, ALZ94224.1, 421
592, CP015647.1, Pseudomonas aeruginosa, ARN38183.1, 421
593, CP014948.1, Pseudomonas aeruginosa, AMU04044.1, 421
594, CP014948.1, Pseudomonas aeruginosa, AMU02133.1, 328
595, CP032126.1, Pseudomonas aeruginosa, QAS76262.1, 421
596, CP032126.1, Pseudomonas aeruginosa, QAS74239.1, 422
597, CP013696.1, Pseudomonas aeruginosa, ALU47345.1, 421
598, CP008868.1, Pseudomonas aeruginosa, ALZ06606.1, 421
599, CP027171.1, Pseudomonas aeruginosa, AVK10023.1, 421
600, CP025055.1, Pseudomonas aeruginosa, AUA80428.1, 421
601, CP025056.1, Pseudomonas aeruginosa, AUB05058.1, 421
602, AP012280.1, Pseudomonas aeruginosa NCGM2.S1, BAK93031.1, 421
603, CP008870.2, Pseudomonas aeruginosa, ALZ22436.1, 421
604, CP008873.1, Pseudomonas aeruginosa, ALZ36234.1, 421
606, CP008866.2, Pseudomonas aeruginosa, ALY96934.1, 421
607, CP008866.2, Pseudomonas aeruginosa, ALY98991.2, 422
608, AP014622.1, Pseudomonas aeruginosa, BAP25359.1, 421
609, CP015117.1, Pseudomonas aeruginosa, AMX88425.1, 421
611, CP011857.1, Pseudomonas aeruginosa, ANT79625.1, 421
612, CP011857.1, Pseudomonas aeruginosa, ANT77579.1, 422
613, CP008861.1, Pseudomonas aeruginosa, ALY66874.1, 421
614, LR134309.1, Pseudomonas aeruginosa, VEE92736.1, 421
615, LR134309.1, Pseudomonas aeruginosa, VEE88689.1, 328
616, AP014646.1, Pseudomonas aeruginosa, BAP54160.1, 421
617, CP033843.1, Pseudomonas aeruginosa, AYZ45976.1, 421
618, AP017302.1, Pseudomonas aeruginosa, BAT68820.1, 421
619, AP017302.1, Pseudomonas aeruginosa, BAT66666.1, 327
620, LT883143.1, Pseudomonas aeruginosa C-NN2, SMZ54299.1, 421
621, CP033771.1, Pseudomonas aeruginosa, AYY40158.1, 421
622, CP033771.1, Pseudomonas aeruginosa, AYY38138.1, 413
623, CP008865.2, Pseudomonas aeruginosa, ALY89900.1, 421
624, CP008865.2, Pseudomonas aeruginosa, ALY87727.2, 422
625, CP033833.1, Pseudomonas aeruginosa, AYZ58028.1, 421
629, CP033832.1, Pseudomonas aeruginosa, AYZ75925.1, 421
